Data File	C:\Users\User\Documents\OmniSEC Data\System 1\Standards_and_Kreith_June2020\2020-06-23_18;45;05_PEO_Std_green_01.vdt
Sample ID	PEO_Std_green
Method File Name	calibration_june_2020_2-0001.vcm
Date Acquired	Jun 23, 2020 - 18:45:05
Solvent	water+NaN3+NaNO3
Operator	admin : Administrator
Column Set	A6000M+A4000
System	System 1
Flow Rate (ml/min)	 0.700
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00233
Det. Temp (Deg C)	30.000
Col. Temp (Deg C)	30.000

Ret. Vol.	RI	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0,54600	18,662	25,666	87,024	-81,439	44,10535					
0,54833	18,616	25,666	87,069	-81,530	44,10474					
0,55067	18,616	25,742	87,069	-81,606	44,10413					
0,55300	18,632	25,742	87,024	-81,637	44,10168					
0,55533	18,601	25,681	86,978	-81,668	44,09985					
0,55767	18,601	25,681	87,024	-81,652	44,09985					
0,56000	18,662	25,681	87,008	-81,606	44,10046					
0,56233	18,677	25,620	86,962	-81,591	44,10168					
0,56467	18,693	25,620	87,024	-81,530	44,10474					
0,56700	18,693	25,605	86,978	-81,545	44,10535					
0,56933	18,723	25,620	86,993	-81,561	44,10535					
0,57167	18,677	25,620	87,008	-81,561	44,10474					
0,57400	18,647	25,666	86,993	-81,561	44,10291					
0,57633	18,632	25,681	86,978	-81,606	44,09924					
0,57867	18,616	25,773	87,039	-81,576	44,10046					
0,58100	18,571	25,758	87,024	-81,530	44,10352					
0,58333	18,616	25,758	86,993	-81,576	44,10535					
0,58567	18,616	25,758	86,978	-81,576	44,10779					
0,58800	18,662	25,758	86,993	-81,561	44,11206					
0,59033	18,677	25,697	86,978	-81,637	44,11206					
0,59267	18,677	25,727	86,932	-81,683	44,10901					
0,59500	18,677	25,697	86,932	-81,637	44,10657					
0,59733	18,708	25,712	86,962	-81,622	44,10352					
0,59967	18,632	25,666	86,932	-81,606	44,09864					
0,60200	18,616	25,727	86,917	-81,530	44,09619					
0,60433	18,647	25,681	86,947	-81,484	44,09253					
0,60667	18,647	25,712	86,901	-81,500	44,08887					
0,60900	18,616	25,620	86,917	-81,500	44,08459					
0,61133	18,647	25,666	86,947	-81,530	44,08215					
0,61367	18,693	25,666	87,008	-81,576	44,07849					
0,61600	18,677	25,697	87,054	-81,622	44,07727					
0,61833	18,662	25,620	87,115	-81,606	44,07849					
0,62067	18,662	25,712	87,191	-81,591	44,08154					
0,62300	18,632	25,666	87,176	-81,576	44,08398					
0,62533	18,601	25,666	87,130	-81,576	44,08765					
0,62767	18,601	25,636	87,100	-81,591	44,09009					
0,63000	18,601	25,712	87,100	-81,561	44,08948					
0,63233	18,616	25,712	87,039	-81,576	44,08948					
0,63467	18,662	25,758	87,054	-81,576	44,08887					
0,63700	18,662	25,727	87,054	-81,515	44,08826					
0,63933	18,693	25,742	87,024	-81,515	44,08887					
0,64167	18,708	25,727	87,024	-81,576	44,08948					
0,64400	18,693	25,712	87,024	-81,591	44,08887					
0,64633	18,632	25,742	87,039	-81,591	44,08887					
0,64867	18,647	25,758	87,039	-81,606	44,08765					
0,65100	18,616	25,788	87,039	-81,606	44,08582					
0,65333	18,586	25,788	87,054	-81,591	44,08643					
0,65567	18,601	25,788	87,069	-81,591	44,08643					
0,65800	18,632	25,742	87,115	-81,622	44,08765					
0,66033	18,616	25,712	87,161	-81,668	44,09009					
0,66267	18,662	25,666	87,176	-81,652	44,09131					
0,66500	18,677	25,666	87,237	-81,622	44,09253					
0,66733	18,647	25,666	87,237	-81,637	44,09497					
0,66967	18,662	25,681	87,207	-81,622	44,09742					
0,67200	18,662	25,727	87,176	-81,576	44,09742					
0,67433	18,632	25,773	87,207	-81,576	44,09985					
0,67667	18,632	25,788	87,130	-81,545	44,10352					
0,67900	18,647	25,803	87,161	-81,515	44,10657					
0,68133	18,632	25,773	87,191	-81,500	44,10901					
0,68367	18,616	25,773	87,176	-81,576	44,11329					
0,68600	18,601	25,758	87,176	-81,591	44,11634					
0,68833	18,601	25,712	87,161	-81,622	44,11512					
0,69067	18,601	25,712	87,115	-81,637	44,11451					
0,69300	18,616	25,681	87,069	-81,652	44,11390					
0,69533	18,616	25,666	87,100	-81,561	44,11145					
0,69767	18,647	25,681	87,115	-81,561	44,10901					
0,70000	18,632	25,697	87,161	-81,545	44,10962					
0,70233	18,632	25,620	87,191	-81,484	44,10962					
0,70467	18,616	25,666	87,191	-81,454	44,10718					
0,70700	18,616	25,636	87,191	-81,408	44,10718					
0,70933	18,601	25,590	87,146	-81,362	44,10535					
0,71167	18,616	25,559	87,115	-81,362	44,10291					
0,71400	18,616	25,636	87,069	-81,408	44,10107					
0,71633	18,601	25,636	87,039	-81,378	44,10169					
0,71867	18,601	25,620	87,024	-81,408	44,10230					
0,72100	18,571	25,636	87,039	-81,408	44,10535					
0,72333	18,555	25,712	87,024	-81,423	44,10718					
0,72567	18,571	25,681	87,039	-81,454	44,10840					
0,72800	18,586	25,681	87,024	-81,454	44,10718					
0,73033	18,586	25,727	87,024	-81,500	44,10474					
0,73267	18,601	25,712	86,978	-81,500	44,10047					
0,73500	18,616	25,697	86,978	-81,484	44,09436					
0,73733	18,601	25,712	86,978	-81,454	44,08887					
0,73967	18,616	25,712	86,993	-81,454	44,08459					
0,74200	18,647	25,727	87,008	-81,439	44,07910					
0,74433	18,647	25,727	87,039	-81,423	44,07666					
0,74667	18,662	25,697	87,008	-81,469	44,07361					
0,74900	18,662	25,697	87,008	-81,454	44,06995					
0,75133	18,632	25,681	87,039	-81,515	44,06567					
0,75367	18,616	25,651	86,993	-81,515	44,06445					
0,75600	18,616	25,681	86,947	-81,545	44,06323					
0,75833	18,616	25,666	86,978	-81,545	44,06567					
0,76067	18,662	25,620	86,947	-81,545	44,06873					
0,76300	18,677	25,620	86,932	-81,515	44,07300					
0,76533	18,693	25,636	86,962	-81,515	44,07727					
0,76767	18,693	25,559	87,039	-81,515	44,07788					
0,77000	18,677	25,590	86,978	-81,469	44,07788					
0,77233	18,632	25,590	86,993	-81,469	44,07666					
0,77467	18,647	25,544	86,978	-81,469	44,07483					
0,77700	18,647	25,575	87,085	-81,484	44,07361					
0,77933	18,647	25,636	86,993	-81,484	44,07300					
0,78167	18,632	25,651	87,039	-81,500	44,07239					
0,78400	18,616	25,712	87,039	-81,484	44,07117					
0,78633	18,616	25,773	87,039	-81,469	44,07056					
0,78867	18,601	25,712	86,886	-81,469	44,06812					
0,79100	18,616	25,712	86,917	-81,500	44,06567					
0,79333	18,632	25,666	86,947	-81,530	44,06506					
0,79567	18,662	25,651	86,932	-81,576	44,06628					
0,79800	18,662	25,666	86,886	-81,591	44,06873					
0,80033	18,662	25,681	86,901	-81,561	44,07056					
0,80267	18,662	25,697	86,856	-81,530	44,07483					
0,80500	18,677	25,742	86,764	-81,469	44,07727					
0,80733	18,647	25,712	86,764	-81,469	44,07971					
0,80967	18,647	25,681	86,810	-81,439	44,08154					
0,81200	18,662	25,651	86,764	-81,484	44,08337					
0,81433	18,662	25,620	86,810	-81,484	44,08582					
0,81667	18,616	25,590	86,840	-81,530	44,09070					
0,81900	18,632	25,575	86,825	-81,500	44,09375					
0,82133	18,632	25,590	86,795	-81,530	44,09680					
0,82367	18,632	25,666	86,810	-81,500	44,10108					
0,82600	18,632	25,681	86,795	-81,515	44,10291					
0,82833	18,677	25,697	86,840	-81,500	44,10169					
0,83067	18,677	25,742	86,795	-81,515	44,10291					
0,83300	18,662	25,742	86,795	-81,561	44,10413					
0,83533	18,677	25,666	86,810	-81,576	44,10474					
0,83767	18,632	25,651	86,779	-81,576	44,10596					
0,84000	18,601	25,620	86,734	-81,545	44,10840					
0,84233	18,616	25,636	86,749	-81,500	44,10901					
0,84467	18,647	25,636	86,734	-81,484	44,10901					
0,84700	18,601	25,681	86,764	-81,484	44,10962					
0,84933	18,632	25,712	86,764	-81,469	44,11023					
0,85167	18,662	25,712	86,779	-81,469	44,11084					
0,85400	18,662	25,681	86,795	-81,500	44,11267					
0,85633	18,647	25,681	86,749	-81,454	44,11573					
0,85867	18,662	25,636	86,703	-81,423	44,11817					
0,86100	18,677	25,636	86,749	-81,423	44,12061					
0,86333	18,662	25,666	86,795	-81,439	44,12183					
0,86567	18,632	25,681	86,795	-81,454	44,12183					
0,86800	18,616	25,681	86,856	-81,454	44,11817					
0,87033	18,601	25,727	86,871	-81,484	44,11390					
0,87267	18,555	25,727	86,825	-81,515	44,10840					
0,87500	18,571	25,727	86,749	-81,545	44,10413					
0,87733	18,601	25,681	86,718	-81,545	44,09864					
0,87967	18,616	25,697	86,703	-81,561	44,09497					
0,88200	18,616	25,681	86,688	-81,545	44,09009					
0,88433	18,677	25,681	86,703	-81,530	44,08459					
0,88667	18,677	25,697	86,749	-81,545	44,07910					
0,88900	18,647	25,758	86,810	-81,545	44,07361					
0,89133	18,662	25,742	86,764	-81,561	44,07056					
0,89367	18,693	25,742	86,779	-81,561	44,07056					
0,89600	18,677	25,742	86,795	-81,606	44,07117					
0,89833	18,677	25,742	86,764	-81,591	44,07239					
0,90067	18,723	25,742	86,749	-81,576	44,07605					
0,90300	18,677	25,758	86,779	-81,530	44,07666					
0,90533	18,647	25,803	86,764	-81,515	44,07666					
0,90767	18,647	25,758	86,764	-81,439	44,07727					
0,91000	18,632	25,712	86,779	-81,408	44,07849					
0,91233	18,616	25,697	86,764	-81,378	44,07971					
0,91467	18,647	25,651	86,825	-81,408	44,08215					
0,91700	18,662	25,620	86,795	-81,454	44,08643					
0,91933	18,647	25,666	86,810	-81,469	44,09131					
0,92167	18,647	25,712	86,825	-81,484	44,09375					
0,92400	18,632	25,727	86,840	-81,530	44,09558					
0,92633	18,616	25,758	86,810	-81,530	44,09680					
0,92867	18,632	25,758	86,840	-81,515	44,09680					
0,93100	18,647	25,712	86,856	-81,500	44,09802					
0,93333	18,662	25,712	86,856	-81,500	44,09802					
0,93567	18,662	25,697	86,840	-81,484	44,09924					
0,93800	18,662	25,712	86,856	-81,454	44,10230					
0,94033	18,647	25,651	86,886	-81,454	44,10474					
0,94267	18,647	25,697	86,810	-81,454	44,10474					
0,94500	18,632	25,651	86,795	-81,500	44,10474					
0,94733	18,662	25,651	86,795	-81,545	44,10413					
0,94967	18,662	25,636	86,749	-81,576	44,10230					
0,95200	18,677	25,697	86,688	-81,545	44,10108					
0,95433	18,677	25,681	86,718	-81,591	44,10169					
0,95667	18,677	25,697	86,749	-81,591	44,10535					
0,95900	18,647	25,651	86,718	-81,561	44,10657					
0,96133	18,647	25,605	86,688	-81,561	44,10840					
0,96367	18,616	25,575	86,718	-81,576	44,10840					
0,96600	18,616	25,575	86,718	-81,545	44,10840					
0,96833	18,632	25,575	86,642	-81,515	44,10657					
0,97067	18,616	25,636	86,703	-81,469	44,10657					
0,97300	18,601	25,681	86,749	-81,439	44,10596					
0,97533	18,632	25,712	86,734	-81,423	44,10657					
0,97767	18,601	25,712	86,734	-81,439	44,10657					
0,98000	18,571	25,742	86,764	-81,423	44,10474					
